ConsumerID,Choice,d1,d2,x1,x2
1,3,46,1,1.4,2
2,0,29,1,0,0
3,1,27,0,1,5
4,3,36,0,1.4,2
5,3,39,0,1.4,2
6,3,54,1,1.4,2
7,3,42,0,1.4,2
8,0,23,1,0,0
9,2,35,0,1.2,3.5
10,3,58,0,1.4,2
11,3,37,1,1.4,2
12,3,35,1,1.4,2
13,3,55,0,1.4,2
14,3,52,0,1.4,2
15,2,35,0,1.2,3.5
16,3,52,1,1.4,2
17,0,22,1,0,0
18,3,44,0,1.4,2
19,0,27,1,0,0
20,3,58,1,1.4,2
21,0,29,1,0,0
22,3,37,0,1.4,2
23,3,43,0,1.4,2
24,1,37,0,1,5
25,3,31,0,1.4,2
26,3,51,0,1.4,2
27,3,29,1,1.4,2
28,3,45,1,1.4,2
29,3,58,1,1.4,2
30,3,37,0,1.4,2
31,2,22,1,1.2,3.5
32,3,41,1,1.4,2
33,3,21,1,1.4,2
34,3,31,0,1.4,2
35,0,27,1,0,0
36,2,54,0,1.2,3.5
37,3,38,1,1.4,2
38,3,28,0,1.4,2
39,3,53,0,1.4,2
40,3,46,1,1.4,2
41,3,30,0,1.4,2
42,0,21,0,0,0
43,3,34,0,1.4,2
44,3,35,1,1.4,2
45,1,53,0,1,5
46,3,42,1,1.4,2
47,0,28,1,0,0
48,1,46,0,1,5
49,0,27,1,0,0
50,3,29,1,1.4,2
51,2,37,0,1.2,3.5
52,2,21,0,1.2,3.5
53,2,44,0,1.2,3.5
54,3,27,1,1.4,2
55,3,41,1,1.4,2
56,3,42,0,1.4,2
57,3,51,1,1.4,2
58,3,36,1,1.4,2
59,3,25,0,1.4,2
60,3,48,0,1.4,2
61,3,40,1,1.4,2
62,3,58,1,1.4,2
63,2,27,0,1.2,3.5
64,2,21,0,1.2,3.5
65,3,53,1,1.4,2
66,2,25,0,1.2,3.5
67,3,40,1,1.4,2
68,3,22,1,1.4,2
69,0,40,1,0,0
70,3,55,1,1.4,2
71,3,24,0,1.4,2
72,2,35,0,1.2,3.5
73,2,37,0,1.2,3.5
74,0,21,1,0,0
75,2,46,0,1.2,3.5
76,3,34,1,1.4,2
77,0,32,1,0,0
78,1,32,0,1,5
79,3,29,0,1.4,2
80,3,38,0,1.4,2
81,3,25,0,1.4,2
82,2,42,0,1.2,3.5
83,0,42,1,0,0
84,2,41,1,1.2,3.5
85,1,42,0,1,5
86,2,44,0,1.2,3.5
87,1,43,0,1,5
88,3,59,1,1.4,2
89,3,51,0,1.4,2
90,3,47,0,1.4,2
91,3,35,1,1.4,2
92,2,31,0,1.2,3.5
93,3,59,0,1.4,2
94,3,50,0,1.4,2
95,0,27,1,0,0
96,2,30,0,1.2,3.5
97,2,41,1,1.2,3.5
98,3,27,0,1.4,2
99,3,55,1,1.4,2
100,3,49,1,1.4,2
101,2,44,0,1.2,3.5
102,1,36,0,1,5
103,3,42,1,1.4,2
104,3,32,0,1.4,2
105,3,55,1,1.4,2
106,3,41,0,1.4,2
107,3,25,1,1.4,2
108,0,26,1,0,0
109,3,51,0,1.4,2
110,3,59,0,1.4,2
111,3,47,0,1.4,2
112,3,37,1,1.4,2
113,0,30,1,0,0
114,3,54,1,1.4,2
115,1,32,0,1,5
116,3,47,0,1.4,2
117,3,54,1,1.4,2
118,2,44,0,1.2,3.5
119,0,23,1,0,0
120,3,41,1,1.4,2
121,3,41,0,1.4,2
122,3,26,1,1.4,2
123,3,50,1,1.4,2
124,3,58,1,1.4,2
125,3,27,1,1.4,2
126,2,35,0,1.2,3.5
127,3,32,0,1.4,2
128,3,43,1,1.4,2
129,3,37,1,1.4,2
130,3,57,0,1.4,2
131,3,37,1,1.4,2
132,0,34,1,0,0
133,3,49,0,1.4,2
134,1,34,0,1,5
135,3,42,1,1.4,2
136,3,30,0,1.4,2
137,2,48,0,1.2,3.5
138,3,25,0,1.4,2
139,2,35,0,1.2,3.5
140,1,22,0,1,5
141,3,58,1,1.4,2
142,3,38,0,1.4,2
143,1,28,0,1,5
144,2,55,0,1.2,3.5
145,3,44,0,1.4,2
146,0,23,1,0,0
147,3,56,1,1.4,2
148,0,23,1,0,0
149,3,57,1,1.4,2
150,0,42,1,0,0
151,3,37,0,1.4,2
152,3,36,0,1.4,2
153,3,57,0,1.4,2
154,3,52,0,1.4,2
155,3,52,0,1.4,2
156,3,31,0,1.4,2
157,3,49,0,1.4,2
158,3,36,0,1.4,2
159,3,45,1,1.4,2
160,2,34,0,1.2,3.5
161,3,41,0,1.4,2
162,3,55,1,1.4,2
163,3,42,0,1.4,2
164,3,57,0,1.4,2
165,3,55,1,1.4,2
166,2,39,1,1.2,3.5
167,3,38,0,1.4,2
168,2,38,0,1.2,3.5
169,3,31,0,1.4,2
170,2,21,0,1.2,3.5
171,3,58,1,1.4,2
172,2,50,0,1.2,3.5
173,3,41,0,1.4,2
174,0,22,1,0,0
175,3,51,1,1.4,2
176,3,33,0,1.4,2
177,0,23,1,0,0
178,3,27,1,1.4,2
179,3,57,0,1.4,2
180,0,36,0,0,0
181,0,28,1,0,0
182,3,50,0,1.4,2
183,3,39,1,1.4,2
184,3,57,1,1.4,2
185,0,29,1,0,0
186,3,55,0,1.4,2
187,3,52,1,1.4,2
188,0,23,1,0,0
189,3,30,0,1.4,2
190,1,22,0,1,5
191,2,60,0,1.2,3.5
192,1,48,0,1,5
193,3,27,0,1.4,2
194,3,48,0,1.4,2
195,1,48,0,1,5
196,3,59,1,1.4,2
197,3,53,1,1.4,2
198,2,23,0,1.2,3.5
199,3,60,0,1.4,2
200,2,44,0,1.2,3.5
201,0,39,1,0,0
202,1,29,0,1,5
203,3,54,0,1.4,2
204,2,45,0,1.2,3.5
205,0,34,1,0,0
206,3,49,1,1.4,2
207,2,46,0,1.2,3.5
208,2,30,0,1.2,3.5
209,2,44,0,1.2,3.5
210,3,57,1,1.4,2
211,3,50,0,1.4,2
212,2,46,0,1.2,3.5
213,3,29,0,1.4,2
